Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location
80168,2008,08/17/2009,Ellington,2 BRITTANI'S WAY,89870.0,125000.0,0.71896,,,,,,
120078,2012,05/24/2013,Prospect,18 MEADOW LA,175270.0,265000.0,0.661396226,Single Family,Single Family,,,,
70433,2007,06/27/2008,Shelton,167 MEADOW ST,299110.0,385000.0,0.776909091,Single Family,Single Family,,,,POINT (-73.12086 41.32412)
30733,2003,07/14/2004,Shelton,127 HEATHER RDG,53130.0,151000.0,0.351854305,,,,,,
14174,2014,04/13/2015,Newtown,89 NEW LEBBON ROAD,275400.0,437000.0,0.63020595,Single Family,Single Family,,,,
210669,2021,04/01/2022,New Britain,283 MAIN ST,270550.0,407500.0,0.6639,Commercial,,,,,POINT (-72.78135399 41.668201011)
200356,2020,06/24/2021,Avon,239 OLD FARMS ROAD 16A,42970.0,72500.0,0.5926,Residential,Condo,,,,
60247,2006,05/22/2007,Ridgefield,1 WINTERBERRY LN,156160.0,355000.0,0.439887324,Single Family,Single Family,,,,
41931,2004,05/31/2005,Stamford,271 BRIDGE ST 251,54360.0,395000.0,0.137620253,,,7,,,
70192,2007,01/16/2008,Wallingford,6 CHESTNUT LN,298410.0,505000.0,0.590910891,Single Family,Single Family,,,,POINT (-72.79243 41.46242)
70269,2007,04/01/2008,Newington,442 CYPRESS RD,111860.0,174000.0,0.642873563,Condo,Condo,,,,
160323,2016,05/25/2017,Naugatuck,242 TAWNY THRUSH ROAD,130700.0,124000.0,1.054032258,Single Family,Single Family,14 - Foreclosure,HUD SALE,,
50237,2005,03/08/2006,Cheshire,40 IVES HL CT,109480.0,255000.0,0.429333333,,,,,,
51019,2005,04/11/2006,New Haven,115 GOODYEAR ST,55650.0,80000.0,0.695625,,,,,,
1900447,2019,08/10/2020,West Haven,146 PUTNEY DR,110530.0,250000.0,0.4421,Single Family,Single Family,,,,
14374,2014,08/14/2015,Farmington,6 CHATHAM CT,355330.0,610000.0,0.582508197,Single Family,Single Family,,,,POINT (-72.89082 41.75242)
190325,2019,07/17/2020,Waterford,60 DANIELS AVE,199660.0,235000.0,0.8496,Single Family,Single Family,,,,
220284,2022,05/24/2023,Trumbull,105 WOODHAVEN DRIVE,307150.0,600250.0,0.5117,Residential,Single Family,,,,POINT (-73.244042002 41.282422995)
200630,2020,03/30/2021,Bristol,318 EMMETT ST,154070.0,335000.0,0.4599,Residential,Three Family,,,,
22162,2022,06/29/2023,Tolland,31 STONE POND DR,105500.0,266000.0,0.3966,Residential,Single Family,,,,POINT (-72.353487002 41.861491009)
150017,2015,10/06/2015,Bristol,139 GREYSTONE AVE,98280.0,137000.0,0.717372263,Single Family,Single Family,,,,
20214,2002,05/30/2003,Tolland,21 RUSSELL DR,91090.0,179900.0,0.506336854,,,,,,
170366,2017,07/17/2018,Wethersfield,840 PROSPECT ST,196100.0,319300.0,0.6141,Single Family,Single Family,,,,
40011,2004,10/06/2004,Montville,32 D'AMATO DR,185320.0,340000.0,0.545058824,,,,,,
90007,2009,12/15/2009,Bethlehem,109 WOODLAND RD,192900.0,140000.0,1.377857143,Single Family,Single Family,06 - Portion of Property,,,
161061,2016,04/27/2017,Bridgeport,318 CENTER ST,91830.0,86625.0,1.06008658,Two Family,Two Family,14 - Foreclosure,,,
50052,2005,02/14/2006,Sterling,187 CALVIN FRENCH RD,102310.0,360000.0,0.284194444,,,,,,
20018,2002,10/10/2002,Tolland,43 SKUNGAMAUG RD,91980.0,100000.0,0.9198,,,,,,
180329,2018,06/24/2019,Newington,32 MAPLE HILL AVE,147010.0,165000.0,0.8909,Single Family,Single Family,,,,POINT (-72.74509 41.69448)
80449,2008,02/05/2009,Waterbury,295 RAYMOND ST,110790.0,32500.0,3.408923077,Single Family,Single Family,08 - Part Interest,,,
20903,2002,05/08/2003,Hartford,133-135 ENFIELD ST,49910.0,35000.0,1.426,,,7.0,,,
40536,2004,11/22/2004,Bridgeport,491-493 PARK AVE,105770.0,155000.0,0.682387097,,,,,,
70016,2007,01/17/2008,Kent,KENICO RD,116200.0,763550.0,0.152183878,,,12 - Non Buildable Lot,SEE 70017,,
130007,2013,10/28/2013,Hebron,315 SKINNER LN,166390.0,185000.0,0.899405405,Single Family,Single Family,14 - Foreclosure,,,
20001,2002,10/01/2002,Stamford,42 MEADOW PARK AVE,256200.0,534000.0,0.479775281,,,,,,
200421,2020,12/24/2020,Greenwich,130 NORTH WATER STREET,288190.0,705000.0,0.4087,Residential,Single Family,,,,
18278,2018,08/08/2019,Stafford,46 EDGEWOOOD ST #57,83860.0,80000.0,1.04825,Condo,Condo,14 - Foreclosure,,,
140232,2014,01/12/2015,New Haven,1470 QUINNIPIAC AVENUE,113890.0,157500.0,0.723111111,Single Family,Single Family,,,,POINT (-72.87052 41.32644)
30481,2003,09/03/2004,Waterford,45 NORWICH RD,124520.0,70000.0,1.778857143,,,6.0,,,
180211,2018,11/19/2018,Danbury,76 BRITTANIA DR,197200.0,184000.0,1.0717,Condo,Condo,14 - Foreclosure,SALE OF FORECLOSURE / 60 NABBY RD #76 / L08054-73,,
181646,2018,09/27/2019,Milford,50 SEVENTH AVE,258490.0,467000.0,0.5535,Single Family,Single Family,,,,
40655,2004,01/21/2005,Hartford,49 RISLEY ST,58450.0,109000.0,0.536238532,,,16,,,
180813,2018,06/18/2019,Middletown,73 MAIN ST,226980.0,250000.0,0.9079,,,25 - Other,SALE NOT SUBJECT TO MARKET,,
60465,2006,11/30/2006,Bridgeport,35 & DOWN ST,96224.0,50000.0,1.92448,,,18 - In Lieu Of Foreclosure,,,
21489,2021,09/22/2022,Watertown,56 EDGEWOOD AVE,87500.0,175000.0,0.5,Residential,Single Family,25 - Other,ESTATE SALE,,POINT (-73.114406985 41.59611702)
200114,2020,12/07/2020,East Lyme,4 UPPER KENSINGTON,365820.0,692000.0,0.5286,Residential,Single Family,,,,POINT (-72.23528 41.38282)
40429,2004,08/17/2005,New Canaan,9 CECIL PL,1288900.0,2395000.0,0.538162839,,,7,,,
30275,2003,08/02/2004,Plymouth,26 FOUNTAIN HEAD RD,110330.0,250000.0,0.44132,,,,,,
200049,2020,07/13/2021,Warren,34 KENT RD,330440.0,650000.0,0.5083,Residential,Single Family,,,,
60617,2006,05/01/2007,Hamden,80 NUTMEG HL RD,238000.0,365500.0,0.651162791,Single Family,Single Family,,,,POINT (-72.91822 41.404)
150106,2015,01/11/2016,Waterford,28 STONE ST,109210.0,94000.0,1.161808511,Single Family,Single Family,25 - Other,bought by known flipper for cash only,,
160236,2016,08/02/2017,Old Saybrook,185 BOKUM RD,209100.0,200000.0,1.0455,Single Family,Single Family,30 - Auction,AUCTION SALE FROM TOWN,,POINT (-72.40411 41.32987)
17014,2017,10/17/2017,Montville,96 B WOODLAND DR,45930.0,65000.0,0.706615385,Condo,Condo,,,,
180092,2018,11/02/2018,New Britain,480-500 MYRTLE ST & 47 BOND ST,2855020.0,980000.0,2.9132,,,25 - Other,Sale Price is not reflective of market value for this type of property,,POINT (-72.79715 41.66973)
18253,2018,01/15/2019,East Hartford,833 & 835 BURNSIDE AVE.,119230.0,105300.0,1.132288699,Single Family,Single Family,14 - Foreclosure,2 parcels,,
20310,2002,12/26/2002,Fairfield,72 OLDFIELD RD,326970.0,612000.0,0.534264706,,,,,,
70389,2007,04/16/2008,Fairfield,186 STERLING ST,247310.0,385000.0,0.642363636,Single Family,Single Family,,,,
200940,2020,03/05/2021,Norwalk,7 ARCH ST UNIT 18,133380.0,236000.0,0.5651,Residential,Condo,,1-20-35-18,,POINT (-73.41684 41.11302)
200478,2020,03/01/2021,Torrington,346 LEDGE DR,64050.0,110000.0,0.5822,Residential,Condo,,,,POINT (-73.10933 41.87681)
43061,2004,08/02/2005,Bridgeport,345 WEST,139721.0,344500.0,0.405576197,,,,,,
12021,2012,10/19/2012,Glastonbury,1472 HEBRON AVE,160900.0,251000.0,0.641035857,Single Family,Single Family,,,,
110200,2011,05/01/2012,Westport,5 RAPHAEL WAY,831000.0,1170000.0,0.71025641,Single Family,Single Family,,,,
2200006,2022,10/21/2022,Killingworth,26 WOODLAND TRAIL,124250.0,199900.0,0.6215,Residential,Single Family,,,,POINT (-72.558965876 41.37394948)
180212,2018,06/03/2019,Ledyard,5 KALMIA DR,268520.0,385000.0,0.6974,Single Family,Single Family,,,,
210355,2021,12/28/2021,New Haven,277 KNEELAND RD,149695.0,315000.0,0.4752,Residential,Single Family,,,,POINT (-72.896252029 41.280005989)
40028,2004,10/21/2004,East Hampton,205 E HIGH ST,373850.0,635000.0,0.588740157,,,,,,
10413,2001,12/18/2001,Norwalk,64 PUTNAM AVE,26530.0,222500.0,0.119235955,,,24,,,
10013,2010,10/15/2010,Manchester,16 ANDERSON STREET,118400.0,170000.0,0.696470588,Single Family,Single Family,,,,
220773,2022,07/31/2023,Meriden,23 VALE AVE,101640.0,265000.0,0.3835,Residential,Single Family,07 - Change in Property,CHANGE OF CONDITION FROM 10/1/2022,,POINT (-72.822488012 41.541505988)
50530,2005,08/22/2006,Vernon,655 TALCOTTVILLE RD 195,28590.0,94900.0,0.301264489,,,,,,
220060,2022,06/22/2023,Sharon,84 JACKSON RD,513900.0,660000.0,0.7786,Residential,Single Family,,,,POINT (-73.437837974 41.882014015)
100298,2010,09/08/2011,Newtown,140 HATTERTOWN ROAD,398900.0,490000.0,0.814081633,Single Family,Single Family,,,,
221282,2022,06/20/2023,Waterbury,92 WHITE ST,79780.0,101311.0,0.7874,Residential,Single Family,25 - Other,PRIVATE SALE,,POINT (-73.044136964 41.580956002)
2201039,2022,06/02/2023,Stamford,87 LINDALE STREET,351140.0,570000.0,0.616,Residential,Two Family,,,,POINT (-73.530477031 41.058320995)
210459,2021,12/30/2021,Danbury,42 BRENTWOOD CI,260600.0,550000.0,0.4738,Residential,Condo,,B16001-170,,POINT (-73.524791909 41.384413295)
10043,2010,11/19/2010,Bloomfield,3 CADWELL ROAD,144900.0,180000.0,0.805,Single Family,Single Family,,,,POINT (-72.73257 41.83759)
50887,2005,05/24/2006,New Britain,22 DORMAN RD,98560.0,206800.0,0.476595745,,,,,,
17313,2017,09/19/2018,Monroe,193 CUTLERS FARM RD,248700.0,367900.0,0.6759,Single Family,Single Family,14 - Foreclosure,,,POINT (-73.234 41.30968)
51156,2005,07/21/2006,New Britain,15 CIANCI RD,72730.0,184000.0,0.395271739,,,,,,
20216,2002,06/17/2003,Suffield,430 HALE ST,106680.0,195000.0,0.547076923,,,,,,
220452,2022,03/02/2023,Branford,174 WATCH HILL RD,142700.0,310000.0,0.4603,Residential,Condo,,,,POINT (-72.82958103 41.302956017)
150006,2015,10/02/2015,Southbury,218A HERITAGE VILLAGE,86420.0,115000.0,0.751478261,Condo,Condo,,,,
60377,2006,06/15/2007,Westport,3 STONY PT W,1707400.0,2500000.0,0.68296,Two Family,Two Family,,,,
70464,2007,04/18/2008,Meriden,13 DRYDEN DR,145300.0,191888.0,0.757212541,Single Family,Single Family,,,,
10422,2010,08/25/2011,Southington,322 BELLEVIEW AVE,150290.0,265000.0,0.567132075,Single Family,Single Family,,,,POINT (-72.8686 41.5868)
210785,2021,07/13/2022,Norwich,28 MICHELE DR,154300.0,361500.0,0.4268,Residential,Single Family,,,,POINT (-72.133112015 41.544006016)
171101,2017,06/13/2018,Norwalk,8 SUNSET HILL AVE,251740.0,385000.0,0.6538,Single Family,Single Family,,1-54-71-0 - SINGLE FAM W/ IN-LAW,,
50319,2005,09/01/2006,Ansonia,4 HIGH ACRES RD,136900.0,281500.0,0.486323268,,,,,,
30025,2003,05/05/2004,Voluntown,300 SHETUCKET TPKE,102480.0,239000.0,0.428786611,,,,,,
200214,2020,02/08/2021,Simsbury,5 JOYCE LANE,392650.0,630000.0,0.6232,Residential,Single Family,,,,
80156,2008,03/19/2009,Shelton,155 HIGH HILL,243320.0,302500.0,0.804363636,Condo,Condo,,,,
60014,2006,10/03/2006,Naugatuck,FAWN MDW DR LT 20,40810.0,90000.0,0.453444444,,,03 - Inter Corporation,,,
220242,2022,03/03/2023,Shelton,27 STEPHENS TERRACE,84210.0,135000.0,0.6237,Residential,Condo,,105 81 27,,POINT (-73.171079372 41.35410452)
100115,2010,06/16/2011,Suffield,776 EAST ST N,139720.0,148000.0,0.944054054,Single Family,Single Family,25 - Other,FUNCT DEPRECIATION APPLIED TO VALUE,,POINT (-72.61435 41.99871)
110856,2011,09/28/2012,Greenwich,"31 GREEN LANE, UNIT 2, GRW,CT",331660.0,416000.0,0.797259615,Condo,Condo,,09-3576/s,,
10357,2001,05/24/2002,Southbury,217 D HERITAGE VLG,41410.0,94000.0,0.440531915,,,,,,
15070,2015,01/26/2016,Mansfield,297 WOODLAND RD,124200.0,125000.0,0.9936,Single Family,Single Family,14 - Foreclosure,SALE BY BANK (PREV FORECLOSURE),,
222134,2022,07/06/2023,Bridgeport,382 CONNECTICUT AVE,93901.0,185000.0,0.5075,Residential,Single Family,,,,POINT (-73.169867021 41.178554996)
190503,2019,06/26/2020,Enfield,29 GROVE RD,98030.0,229000.0,0.4281,Single Family,Single Family,07 - Change in Property,,,
200165,2020,11/03/2020,Danbury,1 MEADOWBROOK,159400.0,340000.0,0.4688,Residential,Single Family,,J10073,,POINT (-73.4403 41.4148)
110110,2011,09/11/2012,Winchester,186 PRATT ST,149450.0,135000.0,1.107037037,Single Family,Single Family,14 - Foreclosure,SALE OF FORCLOSURE,,POINT (-73.07521 41.91004)
20181,2002,07/16/2003,Weston,50 OLD MILL RD,324870.0,525000.0,0.6188,,,,,,
150965,2015,04/06/2016,Norwalk,14 FREEDMAN DR,190770.0,250000.0,0.76308,Single Family,Single Family,,,,
100130,2010,06/02/2011,Rocky Hill,36 CAMBRIDGE DR,217700.0,296000.0,0.735472973,Single Family,Single Family,,,,
80285,2008,04/07/2009,Stratford,MERCER ST,1840.0,5000.0,0.368,Single Family,Single Family,08 - Part Interest,SALE OF LANDLOCKED PIECE TO NEIGHBOR,,
190177,2019,09/08/2020,Brooklyn,24 PROVIDENCE RD,72300.0,110000.0,0.6573,Single Family,Single Family,,,,
16215,2016,05/25/2017,Darien,76 LEEUWARDEN RAOD,559090.0,2995000.0,0.186674457,Single Family,Single Family,07 - Change in Property,,,POINT (-73.50762 41.08986)
70113,2007,11/27/2007,West Haven,19 SMITH CT,111020.0,215000.0,0.516372093,Single Family,Single Family,,,,
50217,2005,09/25/2006,Old Lyme,15 LIBRARY LN,344400.0,640000.0,0.538125,,,,,,
120265,2012,09/30/2013,Rocky Hill,40 ELM STREET,184520.0,193000.0,0.956062176,Single Family,Single Family,,,,
90004,2009,10/28/2009,Salem,63 B HORSE POND RD,61950.0,75000.0,0.826,Condo,Condo,,,,POINT (-72.2461 41.46452)
150276,2015,04/18/2016,Groton,196 RING DR,108220.0,77000.0,1.405454545,Single Family,Single Family,14 - Foreclosure,SALE FROM GOV AFTER FORECLOSURE,,
1300036,2013,10/24/2013,Southbury,493 B HERITAGE VILLAGE,85820.0,143500.0,0.59804878,Condo,Condo,,,,
100077,2010,10/25/2010,Waterbury,159 LOCUST ST,97330.0,20000.0,4.8665,Three Family,Three Family,14 - Foreclosure,INCLDS VAC LOT ASSESSED AT 12150,,
160667,2016,05/24/2017,Danbury,60 PADANARAM RD #J-9,136000.0,192000.0,0.708333333,Condo,Condo,,G09096-9,,
70363,2007,03/20/2008,Stratford,594 NICHOLS AVE,288890.0,451000.0,0.640554324,Single Family,Single Family,,,,
130062,2013,04/07/2014,Winchester,199 WALLENS ST,100170.0,158500.0,0.631987382,Single Family,Single Family,,,,
160122,2016,01/20/2017,Simsbury,5 DOMINIQUE LANE,201380.0,324000.0,0.62154321,Single Family,Single Family,25 - Other,ESTATE SALE,,
20088,2002,10/01/2002,New Haven,1423 QUINNIPIAC AVE 408,47530.0,82000.0,0.579634146,,,,,,
220521,2022,05/18/2023,West Hartford,7 CREEKSIDE LANE,372610.0,730000.0,0.5104,Residential,Condo,,,,POINT (-72.773455974 41.736741006)
190724,2019,07/02/2020,Bristol,65 TIMBER LANE,161070.0,285000.0,0.5652,Single Family,Single Family,,,,POINT (-72.91763 41.71236)
61641,2006,05/18/2007,Bridgeport,148 LEONARD DR,123130.0,6500.0,18.94307692,Single Family,Single Family,25 - Other,,,POINT (-73.2332 41.22476)
160386,2016,07/10/2017,Westport,53 KINGS HIGHWAY NORTH,894600.0,909500.0,0.983617372,Single Family,Single Family,25 - Other,CURRENT CONDITION NOT REFLECTED IN TOWN APPRAISAL/NO FULL INSPECTION SINCE 2005,,
70033,2007,02/06/2008,Essex,47 POND MEADOW RD,194300.0,252000.0,0.771031746,Single Family,Single Family,,,,
190010,2019,10/23/2019,Washington,68 & 72 RIVER RD,4760.0,11000.0,0.4327,,,25 - Other,1.06 Acres Non-buildable lot to an abutting owner,,
40063,2004,10/26/2004,Torrington,8 TRAVIS ST,73000.0,147900.0,0.493576741,,,,,,
200271,2020,11/18/2020,Milford,93 BOSTON POST RD 153 WASHINGT,465210.0,520000.0,0.8946,Commercial,,25 - Other,NOT ON OPEN MARKET,,
130028,2013,11/22/2013,Wolcott,39 BEACH RD,194400.0,287500.0,0.676173913,Single Family,Single Family,07 - Change in Property,NEW CONSTRUCTION,,
21008,2021,10/05/2021,Oxford,280 GOVERNORS HILL ROAD,188900.0,426000.0,0.4434,Residential,Single Family,,,,POINT (-73.142708984 41.413683012)
50416,2005,08/18/2006,Newtown,35 MARLIN RD,411750.0,790000.0,0.521202532,,,,,,
190262,2019,06/11/2020,East Lyme,87 WALNUT HILL RD,193270.0,340000.0,0.5684,Single Family,Single Family,,,,POINT (-72.23765 41.41446)
220022,2022,11/02/2022,Suffield,95 BRIDGE ST,182700.0,350000.0,0.522,Residential,Single Family,,"SOLD OVER ASK PRICE OF $349,900",,POINT (-72.647881989 41.980195018)
190397,2019,06/17/2020,Glastonbury,133 TALCOTT RD,164000.0,253000.0,0.6482,Single Family,Single Family,,,,
190652,2019,05/22/2020,Fairfield,177 NICHOLS STREET,753760.0,1060000.0,0.7111,Single Family,Single Family,,,,
60191,2006,08/07/2007,Haddam,54 KILLINGWORTH RD,133090.0,245000.0,0.54322449,Single Family,Single Family,,,,
40234,2004,06/17/2005,Griswold,80 BISHOP XING RD,71890.0,39402.0,1.824526674,,,1,,,
10648,2001,03/13/2002,Hartford,1368 ASYLUM AVE UT B,166320.0,350000.0,0.4752,,,,,,
170405,2017,04/27/2018,Torrington,839 MAIN ST UNIT 53,51030.0,53000.0,0.9628,Condo,Condo,,,,
50674,2005,03/13/2006,Meriden,135 NEWTON ST,72800.0,209900.0,0.346831825,,,,,,
60276,2006,07/02/2007,Rocky Hill,18 CLEMENS CT,109360.0,233810.0,0.467730208,Condo,Condo,,,,
120035,2012,04/23/2013,Columbia,82 DOUBLEDAY RD,126900.0,184000.0,0.689673913,Single Family,Single Family,,,,
31000,2003,09/10/2004,Southington,90 TODD RD,88970.0,188000.0,0.473244681,,,,,,
200272,2020,12/15/2020,Middletown,127 BERLIN ST,140660.0,295000.0,0.4768,Residential,Three Family,25 - Other,SALE COMBINED W R15880,,POINT (-72.66405 41.56144)
120157,2012,08/01/2013,Old Saybrook,5 ROBERTS ST,215300.0,85000.0,2.532941176,Single Family,Single Family,08 - Part Interest,SALE TOOK PLACE IN 2 PARTS SEE 120157,,
10116,2010,01/04/2011,Manchester,1471 PLEASANT VALLEY ROAD,168000.0,90000.0,1.866666667,,,04 - Correcting Deed,MEMBER OF LLC,,
70106,2007,04/14/2008,Coventry,547 CEDAR SWAMP RD,183540.0,369900.0,0.496188159,Single Family,Single Family,,,,
200677,2020,12/29/2020,Norwalk,32 PINE ST UNIT 2/6,138890.0,232500.0,0.5973,Residential,Condo,,2-22-8-2/6,,POINT (-73.41868 41.1027)
60908,2006,07/02/2007,Bristol,11 INGRAHAM ST,59660.0,199500.0,0.299047619,Two Family,Two Family,,,,
220144,2022,11/23/2022,Hamden,555 SHERMAN AVE A-4,98210.0,152000.0,0.6461,Commercial,,,,,POINT (-72.913136032 41.408105987)
150352,2015,04/19/2016,Middletown,38 GREENLAWN RD,162150.0,215000.0,0.754186047,Single Family,Single Family,,,,
140164,2014,08/13/2015,Oxford,36 JEM WOODS RD,133000.0,190000.0,0.7,,,,,,
140243,2014,01/20/2015,Fairfield,160 FAIRFIELD WOODS ROAD #38,164850.0,239500.0,0.688308977,Condo,Condo,,,,
180302,2018,05/06/2019,Southbury,419 A HERITAGE VILLAGE,54400.0,110000.0,0.4945,Condo,Condo,,,,
2020033,2020,10/28/2020,Berlin,90 DAYL DR,258800.0,315500.0,0.8202,Residential,Single Family,,,,POINT (-72.78551 41.6409)
200063,2020,01/22/2021,Thomaston,21 EDWIN LN,185220.0,302500.0,0.6122,Residential,Single Family,,,,
130032,2013,12/03/2013,Stafford,7 SUSAN DR,94850.0,125000.0,0.7588,Single Family,Single Family,,,,
210624,2021,02/09/2022,Danbury,5 NABBY RD A-8,36500.0,105000.0,0.3476,Residential,Condo,,L08018-8,,POINT (-73.419739014 41.428309014)
50155,2005,11/03/2005,New Britain,20 HUTCHINSON ST,65240.0,164900.0,0.395633717,,,,,,POINT (-72.79203 41.69785)
210036,2021,09/12/2022,Hartland,117 PEDERSEN RD,196180.0,425000.0,0.4616,Residential,Single Family,,,,POINT (-72.896590993 41.977844984)
60986,2006,02/06/2007,Bridgeport,1901 E MAIN ST UT 2,417904.0,213000.0,1.96199061,Three Family,Three Family,07 - Change in Property,,,
10045,2001,11/27/2001,Stafford,BEFFA RD,80290.0,42000.0,1.911666667,,,6,,,
900184,2009,01/22/2010,West Haven,44 ANNAWON AVE,176890.0,43000.0,4.11372093,Single Family,Single Family,08 - Part Interest,part interest,,
60142,2006,03/21/2007,Monroe,15 HIDDEN KNLS CIR,88500.0,180000.0,0.491666667,Condo,Condo,,,,
200050,2020,11/16/2020,East Haddam,159 LEESVILLE RD,287710.0,360000.0,0.7991,Residential,Two Family,,,,POINT (-72.47993 41.50984)
180450,2018,02/04/2019,Danbury,4 STRAWBERRY HILL RD,313700.0,300000.0,1.045666667,Single Family,Single Family,25 - Other,RATIO TOO HIGH / D08067,NO MLS,
200311,2020,04/01/2021,Farmington,101 SOMERSBY WAY,613390.0,960000.0,0.6389,Residential,Single Family,,CASH SALE-NO MORTGAGE  FOUND,,
900267,2009,07/13/2010,Guilford,57 FOREST BROOK RD,319250.0,475000.0,0.672105263,Single Family,Single Family,,,,POINT (-72.64403 41.31989)
10629,2001,12/21/2001,Bridgeport,284 MERRITT ST,98980.0,176000.0,0.562386364,,,,,,POINT (-73.21412 41.20898)
150195,2015,08/31/2016,Winchester,19 CENTER ST,167300.0,53500.0,3.127102804,Four Family,Four Family,14 - Foreclosure,SALE OF FORCLOSURE,,
50341,2005,06/30/2006,Montville,172 MAPLE AVE,83350.0,15000.0,5.556666667,,,25,,,
220404,2022,03/31/2023,Greenwich,33 LAFAYETTE COURT #1H,408940.0,600000.0,0.6816,Residential,Condo,25 - Other,SINGLE CONVEYANCE FOR MULTI PARCELS,,POINT (-73.628039865 41.03135519)
19900009,2019,09/10/2020,Woodbury,137 FLANDERS RD,287140.0,820000.0,0.3502,Single Family,Single Family,,,GOOD SALE PER MLS,
180756,2018,06/21/2019,West Hartford,123 THOMAS STREET,131320.0,219900.0,0.5971,Single Family,Single Family,,,,
190087,2019,02/03/2020,Suffield,1682 MOUNTAIN RD,136920.0,92000.0,1.48826087,Single Family,Single Family,25 - Other,,BELOW MARKET,
150404,2015,03/15/2016,New Haven,45 DONNA DRIVE B-6,18620.0,32000.0,0.581875,Condo,Condo,,,,
210269,2021,08/22/2022,Windsor Locks,8 CONCORDE WAY UNIT B5,47320.0,96000.0,0.4929,Residential,Condo,,,,POINT (-72.667382989 41.92018801)
30485,2003,03/15/2004,West Haven,40 FLORENCE ST,89810.0,205000.0,0.438097561,,,,,,
20060,2002,10/17/2002,Milford,24 COOLRIDGE RD,89250.0,217500.0,0.410344828,,,,,,POINT (-73.01657 41.20572)
10379,2001,08/22/2002,Madison,86 QUAIL RUN,254000.0,650000.0,0.390769231,,,,,,
10187,2001,04/23/2002,Clinton,6 CARTER HL RD,160900.0,120000.0,1.340833333,,,6,,,
120024,2012,10/19/2012,Vernon,1262 HARTFORD TPKE,104930.0,147500.0,0.711389831,,,,,,
202256,2020,05/07/2021,Norwalk,100 SEAVIEW AVE UNIT 2/GL,321100.0,495000.0,0.6486,Residential,Condo,,3-50-1A-2/GL,,POINT (-73.4056 41.09719)
40653,2004,05/27/2005,Wallingford,762 N MAIN ST EXT,99900.0,230000.0,0.434347826,,,,,,POINT (-72.809 41.47449)
160221,2016,12/29/2016,Greenwich,17 FIELD POINT DR,5100060.0,2432800.0,2.096374548,Single Family,Single Family,08 - Part Interest,,,
220563,2022,06/16/2023,Torrington,377 BRIGHTWOOD AVE,91360.0,147500.0,0.6193,Residential,Two Family,08 - Part Interest,,,POINT (-73.116357035 41.81417001)
70050,2007,10/29/2007,Wallingford,77 FARM HILL RD.,225610.0,370000.0,0.609756757,Single Family,Single Family,,,,
52768,2005,09/22/2006,Waterbury,694 BALDWIN ST,56000.0,144000.0,0.388888889,,,,,,
30179,2003,03/15/2004,East Hampton,4 PINE TRL,112850.0,135000.0,0.835925926,,,,,,
30137,2003,04/16/2004,Mansfield,957 STORRS RD,274960.0,540000.0,0.509185185,,,,,,
60869,2006,06/26/2007,Bristol,64 BELGIAN CIR,63560.0,127500.0,0.498509804,,,,,,POINT (-72.95989 41.70912)
140307,2014,03/04/2015,Fairfield,21 RAKOCZY AVENUE,313740.0,355000.0,0.883774648,Two Family,Two Family,25 - Other,ESTATE SALE,,
52018,2005,06/02/2006,Danbury,12 BOULEVARD DR 35-189,186800.0,374000.0,0.499465241,,,,,,
40037,2004,10/19/2004,Naugatuck,307 FIELD ST,211540.0,375000.0,0.564106667,,,7,,,
21041,2002,09/22/2003,Torrington,125 EAGLE RDG,180200.0,320000.0,0.563125,,,,,,
133667,2013,07/10/2014,West Hartford,891 FARMINGTON AVENUE 1-6I,83720.0,167500.0,0.499820896,Condo,Condo,,,,
60045,2006,04/02/2007,Marlborough,113 HEBRON RD,136430.0,188500.0,0.723766578,Single Family,Single Family,,,,
150503,2015,06/29/2016,Torrington,88 CONCORD RD,81950.0,72500.0,1.130344828,Single Family,Single Family,14 - Foreclosure,OUT OF FORECLOSURE,,
17057,2017,05/11/2018,Columbia,22 CHERRY VALLEY ROAD,137400.0,205000.0,0.6702,Single Family,Single Family,,,,
18000251,2018,07/19/2019,Brookfield,11 EVERGREEN DR,190330.0,316000.0,0.602310127,Single Family,Single Family,25 - Other,SOLD WITH 9 EVERGREEN DR & TRUSTEE DED,,POINT (-73.42166 41.45625)
61038,2006,03/05/2007,Waterbury,839 WASHINGTON AVE,70420.0,67000.0,1.051044776,Single Family,Single Family,10 - A Will,,,
100377,2010,11/01/2010,Wethersfield,832 PROSPECT ST,186500.0,240000.0,0.777083333,Single Family,Single Family,,,,POINT (-72.69599 41.68845)
10271,2010,09/02/2011,Darien,25 OVERBROOK LANE,961030.0,1355000.0,0.709247232,Single Family,Single Family,,,,
60045,2006,10/20/2006,Wallingford,60 MANSION RD,187320.0,315000.0,0.594666667,Single Family,Single Family,,,,
221510,2022,12/02/2022,Manchester,65 BROAD STREET,125900.0,52000.0,2.4211,Residential,Single Family,25 - Other,FIDUCIARY DEED,,POINT (-72.535962962 41.787960009)
900082,2009,11/16/2009,Enfield,26 CARNEY RD,164290.0,210000.0,0.782333333,Single Family,Single Family,,,,POINT (-72.57248 42.02979)
